"Event"|"Site"|"Date"|"Round"|"White"|"Black"|"Result"|"WhiteElo"|"BlackElo"|"Moves"
"Live Chess"|"Chess.com"|"2022-11-05"|"-"|"Damgol"|"suliborski30"|"0-1"|"1431"|"1151"|"e3 d5 d4 c5 dxc5 e6 Bb5+ Bd7 Nc3 a6 Bxd7+ Nxd7 b4 a5 Ba3 axb4 Bxb4 Bxc5 Bxc5 Nxc5 Nge2 Qa5 O-O Nf6 f3 O-O Qd4 Rfe8 Qe5 Ncd7 Qg3 e5 Qe1 d4 Ne4 Qxe1 Rfxe1 Nxe4 fxe4 dxe3 Nc3 Nf6 Rxe3 Ng4 Ree1 Rac8 Nd5 Rxc2 a4 Nf6 a5 Nxd5 exd5 Rd2 Rad1 Ra2 d6 Rxa5 d7 Rd8 Rd6 f6 Rc1 Raa8 Rb1 Rab8 Rbb6 Kf7 Kf2 Ke7 Ke3 Rxd7 Rxd7+ Kxd7 Ke4 Kc7 Rb4 b5 g4 Kc6"
"Live Chess"|"Chess.com"|"2022-11-06"|"-"|"Ozeias999"|"suliborski30"|"1-0"|"1112"|"979"|"d4 d5 Nf3 Nf6 Bf4 Bf5 e3 e6 c3 b6 h3 c5 dxc5 bxc5 Qb3 Nc6 Qb7 Na5 Bb5+ Nd7 Bxd7+ Qxd7 Qxa8+ Ke7 O-O Nc4 b3 Nb2 Nbd2 Nd3 Bh2 g6 Ne5 Nxe5 Bxe5 f6 Bh2 Bg7 Qxh8 Bxh8 c4 d4 exd4 cxd4 Rad1 Bd3 Rfe1 f5 Be5 Bf6 Bxf6+ Kxf6 Nf3 e5 Rxd3 e4 Rxd4 Qc6 Nh2 Ke5 Rdd1 h5 Rc1 g5 b4 Qa4 c5 Qxb4 c6 Qb8 c7 Qc8 Red1"
"5|0 Blitz"|"Chess.com"|"2022-11-06"|"1"|"shinkavl"|"suliborski30"|"1-0"|"1187"|"959"|"d4 d5 Bf4 e6 Nc3 Nf6 a3 b6 e3 Bb7 Nb5 Bd6 Bxd6 cxd6 Nf3 Nbd7 h3 e5 Nxd6+ Ke7 Nxb7 Qc7 Bb5 Qxb7 Bxd7 Nxd7 dxe5 Rhe8 Nd4 Nxe5 Qh5 Nc4 O-O-O g6 Qxh7 Rh8 Qg7 Qa6 Nc6+ Ke6 Qd4 Nxa3 Qxd5+ Kf6 Qd6+ Kg7 Qxa3 Qxa3 bxa3 Rac8 Nd4 Rh5 Rd2 Rhc5 Rhd1 f5 Ne6+"
"5|0 Blitz"|"Chess.com"|"2022-11-06"|"2"|"suliborski30"|"balkaj"|"0-1"|"887"|"611"|"e4 c6 Nf3 d5 e5 Bf5 d4 Nd7 Nc3 f6 Bf4 e6 Bd3 Bg6 h4 Ne7 h5 Bf5 Bxf5 Nxf5 g4 Ne7 g5 fxe5 Nxe5 Nxe5 Bxe5 Qb6 h6 Rg8 hxg7 Bxg7 Qh5+ Kd7 Qxh7 Bxe5 dxe5 Qxb2 Rb1 Qxc3+ Kf1 b5 Qf7 Qxc2 Re1 Raf8 Qxe6+ Kxe6 Rh6+ Kd7 Rd6+ Ke8 Rxc6 Qxc6 e6 Qc4+"
"Live Chess"|"Chess.com"|"2022-11-06"|"-"|"suliborski30"|"ArthurPendragon2002"|"1-0"|"916"|"811"|"e4 e5 Nf3 d6 Nc3 Nf6 d3 c6 Be2 Qe7 O-O Qe6 Bg5 d5 exd5 cxd5 d4 e4 Ne5 Be7 Bxf6 Bxf6 Ng4 O-O Nxf6+ Qxf6 Bg4 Bxg4 Qxg4 Nc6 Nxd5 Qd6 Qxe4 Rae8 Qf3 Nxd4 Qh5 Re5 Qh3 Qxd5 Rfe1 Rxe1+ Rxe1 Nxc2 Rc1 Qd2 Rf1 Re8 f3 Re1 Qc8+"
"Live Chess"|"Chess.com"|"2022-11-06"|"-"|"anassaadeh"|"suliborski30"|"1-0"|"918"|"882"|"e4 c5 Bc4 Nc6 c3 Ne5 Bb3 e6 a3 d5 exd5 exd5 Nf3 Nxf3+ Qxf3 Nf6 d3 b6 O-O Bb7 Re1+ Be7 Bg5 Rb8 Bxf6 gxf6 c4 d4 Ba4+ Kf8 Qf4 Bd6 Qh6+ Kg8 Re8+ Qxe8 Bxe8 Rxe8 Nd2 Re2 h3 Rxd2 Qxd2 Kf8 Re1 Rg8 g3 Bxg3 fxg3 Rxg3+ Kh2 Rg2+ Qxg2 Bxg2 Kxg2 Kg7 Re7 a5 Rb7 Kg6 Rxb6 Kf5 Rc6 Kf4 Rxc5 Ke3 Rxa5 Kxd3 Rb5 Kxc4 Rb8 d3 a4 d2 Rd8 Kb4 b3 Kxb3 a5 Ka4 a6 d1=Q Rxd1 Ka5 a7 Ka6"
"Live Chess"|"Chess.com"|"2022-11-06"|"-"|"suliborski30"|"anassaadeh"|"1-0"|"915"|"909"|"e4 d5 exd5 Qxd5 Nc3 Qe6+ Be2 b6 Nf3 Bb7 O-O Nd7 Re1 O-O-O Bb5 Qg6 Bxd7+ Rxd7 Nh4 Qxg2+ Nxg2 Bxg2 Kxg2 Rd6 Qg4+ Kb8 Qa4 Nf6 Ne4 Nxe4 Qe8+ Kb7 Rxe4 h5 Qxf7 h4 h3 g5 Rxe7 Bxe7 Qxe7 Rg6 Qe4+ Rc6 d3 Rg8 Be3 Kb8 Qxc6 g4 Kh2 g3+ fxg3 hxg3+ Kg2 Re8 Re1 Rf8 Bh6 Rf2+ Kxg3 Rxc2 Re8#"
"5|0 Blitz"|"Chess.com"|"2022-11-07"|"2"|"suliborski30"|"IamZalega"|"0-1"|"864"|"590"|"e4 d6 Nf3 Nf6 Nc3 g6 Bc4 e6 d4 Bg7 Bg5 O-O O-O Re8 Qc1 e5 dxe5 dxe5 Rd1 Qe7 Nd5 Qc5 Nxf6+ Bxf6 Bxf6 Bg4 Bb3 Nc6 Qh6 Qf8 Bxf7+ Qxf7 Ng5 Qxf6 Qxh7+ Kf8 Qh6+ Qg7 Qxg7+ Kxg7 f3 Be6 Nxe6+ Rxe6 Rd7+ Kf6 Rxc7 Nd4 Rxb7 Nxc2 Rc1 Ne3 Rcc7 Rae8 Rf7+ Kg5 h4+ Kxh4 Rh7+ Kg5 Rbg7 Rd8 Rxa7 Rd1+ Kf2 Nc2 a4 Rd2+ Kg3 Ne3 Rh4 Rxg2+ Kh3 Rxb2"
"5|0 Blitz"|"Chess.com"|"2022-11-07"|"3"|"sphesihlemtshali"|"suliborski30"|"0-1"|"637"|"876"|"e4 c5 Bc4 Nc6 Qf3 Ne5 Qc3 Nxc4 Qxc4 e6 e5 d5 exd6 Bxd6 Nf3 Bd7 d3 b5 Qe4 Nf6 Qe2 O-O Nc3 Re8 Ne4 Bc6 Nxf6+ Qxf6 Bg5 Qxb2 O-O Bxf3 Qxf3 f6 Bf4 e5 Bc1 Qxa1 Qg3 g6 Bg5 Qxf1+ Kxf1 fxg5 Qxg5 Rf8 f3 Rab8 c3 b4 cxb4 cxb4 d4 exd4 Qd5+ Kh8 Qxd4+ Kg8 Qxd6 Rfd8 h4 Rxd6 g4 Rd1+ Kg2 Rbd8 Kg3 R8d2 h5 Rxa2"
"5|0 Blitz"|"Chess.com"|"2022-11-07"|"4"|"suliborski30"|"ashifalip"|"0-1"|"832"|"620"|"e4 e5 Nf3 Qf6 Nc3 c6 Bd3 Bc5 O-O d6 b4 Bb6 Bb2 c5 a3 Qg6 Nd5 Bh3 Nh4 Qg5 Qf3 Qxh4 Qxh3 Qxh3 gxh3 f6 Bb5+ Nd7 Bxd7+ Kxd7 Nxb6+ axb6 bxc5 dxc5 d4 exd4 Rfd1 Ne7 Bxd4 cxd4 Rxd4+ Ke6 a4 Nc6 Rd3 Rhd8 Rb1 b5 axb5 Ne5 Rxd8 Rxd8 c3 Nd3 Ra1 Nf4 Ra7 Rd7 b6 Ne2+ Kg2 Nf4+ Kg3 Ne2+ Kf3 Nxc3"
